Name,School,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SOS
Bryce Aiken,Harvard,58,34,29.4,5.0,12.4,0.406,2.9,6.1,0.46799999999999997,2.2,6.3,0.345,4.5,5.3,0.851,0.4,2.1,2.4,2.8,0.8,0.0,2.8,1.9,16.8,-1.09
Nickeil Alexander-Walker,Virginia Tech,67,67,29.9,4.7,10.1,0.46399999999999997,3.0,5.6,0.529,1.7,4.5,0.38299999999999995,2.4,3.1,0.763,0.6,3.4,4.0,2.7,1.4,0.5,2.2,1.9,13.5,7.25
Al-Wajid Aminu,North Florida,34,26,26.0,3.6,6.7,0.542,3.4,5.9,0.578,0.2,0.8,0.28600000000000003,1.7,3.4,0.491,2.6,3.8,6.5,0.7,0.4,1.1,2.1,3.6,9.1,-1.65
Desmond Bane,TCU,109,82,28.7,4.2,8.2,0.516,2.8,4.8,0.578,1.4,3.4,0.428,1.6,2.0,0.8079999999999999,0.8,3.4,4.2,1.9,0.8,0.3,1.3,2.2,11.5,10.08
RJ Barrett,Duke,38,38,35.3,8.4,18.5,0.45399999999999996,6.5,12.2,0.529,1.9,6.2,0.308,3.9,5.9,0.665,1.6,6.0,7.6,4.3,0.9,0.4,3.2,1.8,22.6,11.97
Charles Bassey,Western Kentucky,34,34,31.4,5.5,8.8,0.627,5.3,8.2,0.639,0.3,0.6,0.45,3.2,4.2,0.769,2.9,7.1,10.0,0.7,0.8,2.4,2.9,2.6,14.6,0.96
Tyus Battle,Syracuse,103,94,35.4,5.3,12.8,0.41700000000000004,3.6,7.6,0.474,1.7,5.2,0.335,3.6,4.5,0.8029999999999999,0.5,2.3,2.8,2.1,1.3,0.2,1.8,2.0,16.0,9.52
Phil Bledsoe,Marshall,35,0,7.3,1.0,2.4,0.42200000000000004,0.7,1.5,0.47200000000000003,0.3,0.9,0.33299999999999996,0.5,0.8,0.7040000000000001,0.7,1.1,1.8,0.1,0.1,0.0,0.2,0.9,2.8,-0.31
Bol Bol,Oregon,9,9,29.8,8.2,14.7,0.561,6.8,11.9,0.57,1.4,2.8,0.52,3.1,4.1,0.757,2.1,7.4,9.6,1.0,0.8,2.7,2.0,1.7,21.0,6.13
Marques Bolden,Duke,88,24,13.6,1.5,2.6,0.573,1.5,2.5,0.591,0.0,0.1,0.0,0.8,1.2,0.685,1.4,1.9,3.3,0.4,0.3,1.1,0.6,1.6,3.8,10.86
Jordan Bone,Tennessee,95,87,26.1,3.6,8.4,0.424,2.6,5.7,0.45799999999999996,1.0,2.7,0.353,1.6,2.0,0.8170000000000001,0.3,2.1,2.4,4.3,0.7,0.1,1.6,1.2,9.7,10.15
Ky Bowman,Boston College,98,94,35.5,5.9,13.6,0.433,3.6,7.8,0.466,2.3,5.8,0.38799999999999996,2.9,3.9,0.762,0.8,5.6,6.4,3.9,1.3,0.3,3.0,2.6,16.9,7.68
DaQuan Bracey,Louisiana Tech,89,71,28.2,4.5,10.2,0.441,3.4,7.0,0.488,1.1,3.2,0.337,2.2,3.4,0.639,0.7,1.9,2.6,4.7,1.1,0.1,2.1,2.0,12.3,-2.26
Keith Braxton,Saint Francis (PA),98,93,34.2,5.4,11.1,0.485,4.3,8.1,0.526,1.1,2.9,0.369,3.5,4.5,0.778,1.8,7.5,9.3,3.4,1.6,0.4,2.5,1.8,15.3,-6.84
Ignas Brazdeikis,Michigan,37,37,29.6,5.1,11.0,0.462,3.6,7.1,0.5,1.5,3.9,0.392,3.1,4.1,0.773,1.2,4.3,5.4,0.8,0.7,0.5,1.2,2.1,14.8,10.55
Oshae Brissett,Syracuse,71,71,35.7,4.4,11.7,0.371,3.2,7.8,0.40399999999999997,1.2,3.9,0.307,3.8,5.2,0.736,2.2,6.0,8.2,1.3,1.1,0.8,1.9,2.2,13.7,10.05
Armoni Brooks,Houston,100,40,21.8,3.3,7.9,0.415,1.0,2.1,0.46399999999999997,2.3,5.8,0.397,0.6,0.8,0.711,0.8,3.5,4.3,0.6,0.7,0.3,0.6,1.3,9.4,4.06
Nico Carvacho,Colorado State,100,97,27.3,4.0,7.1,0.556,3.9,6.9,0.563,0.1,0.2,0.33299999999999996,2.1,3.7,0.5529999999999999,3.3,6.1,9.5,1.8,0.6,0.6,1.7,2.9,10.0,2.46
