Name,School,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SOS,Year,Pos,Age,NBATRB,NBAAST,NBASTL,NBABLK,NBAPTS
Mike Higgins,Navy,60.0,2.0,9.0,1.1,2.3,0.464,0.9,1.7,0.51,0.2,0.6,0.324,0.9,1.2,0.754,0.6,0.9,1.5,0.2,0.2,0.2,0.7,1.0,3.2,-5.93,1990,SF,22,0.4,0.3,0.2,0.2,1.3
Ashraf Amaya,Southern Illinois,128.0,120.0,32.2,5.3,9.4,0.5670000000000001,5.2,9.0,0.581,0.1,0.4,0.229,3.8,5.8,0.659,2.9,3.4,8.9,0.6,1.1,1.2,1.9,3.3,14.6,0.74,1996,PF,24,5.6,0.6,0.4,0.2,6.3
James Cotton,Maryland-Eastern Shore,19.0,3.0,13.9,0.8,1.8,0.441,0.8,1.7,0.469,0.0,0.1,0.0,1.4,2.2,0.634,0.7,2.0,2.7,0.4,0.6,0.3,0.9,2.4,2.9,-7.38,1998,SG,22,0.7,0.0,0.1,0.1,2.7
Eddie Robinson,Lamar,114.0,75.0,32.6,1.8,4.9,0.365,1.5,3.8,0.403,0.3,1.1,0.234,1.4,2.2,0.654,0.3,3.6,3.1,3.4,0.8,0.2,2.9,1.4,5.2,-7.2,2000,SF,23,2.7,0.5,0.7,0.4,7.0
Gilbert Arenas,Arizona,70.0,33.0,30.5,5.6,12.1,0.466,4.1,7.9,0.523,1.5,4.2,0.361,3.0,4.0,0.738,0.8,2.8,3.8,2.2,1.9,0.2,2.7,2.4,15.8,11.13,2002,PG,20,2.8,3.7,1.5,0.2,10.9
Brandon Armstrong,Pepperdine,65.0,30.0,30.4,6.6,15.1,0.439,4.4,9.5,0.467,2.2,5.6,0.391,2.7,3.2,0.8240000000000001,1.2,2.1,3.2,1.5,1.7,0.2,1.9,2.6,18.1,2.56,2002,SG,21,0.5,0.2,0.2,0.0,1.8
Carlos Arroyo,Florida International,100.0,29.0,35.2,5.6,12.6,0.445,3.9,7.5,0.516,1.7,5.1,0.34,3.0,4.3,0.703,0.8,2.6,3.0,4.6,1.8,0.1,3.7,1.0,16.0,-1.88,2002,PG,22,1.1,1.9,0.3,0.0,3.0
Shane Battier,Duke,146.0,39.0,31.4,4.5,8.9,0.5,2.8,4.9,0.57,1.7,4.1,0.416,3.0,3.8,0.777,2.4,4.9,6.1,1.6,1.8,1.7,1.2,1.6,13.6,10.08,2002,SF,23,5.4,2.8,1.6,1.0,14.4
Charlie Bell,Michigan State,140.0,33.0,27.0,3.7,8.5,0.439,2.8,5.9,0.481,0.9,2.6,0.343,2.2,2.8,0.782,1.0,3.7,4.5,2.7,0.9,0.1,2.8,0.4,10.5,9.9,2002,SG,22,0.7,0.3,0.0,0.0,1.1
Ruben Boumtje-Boumtje,Georgetown,101.0,33.0,25.1,3.4,7.0,0.485,3.4,7.0,0.487,0.0,0.0,0.0,2.8,4.2,0.664,2.6,4.2,7.0,0.9,0.8,2.5,2.7,2.6,9.6,4.94,2002,C,23,1.7,0.1,0.1,0.5,1.2
Jamison Brewer,Auburn,58.0,33.0,23.2,2.1,4.5,0.456,1.8,3.5,0.525,0.2,1.0,0.22,1.3,2.5,0.527,2.8,4.4,4.7,4.1,1.1,0.1,2.2,1.3,5.7,7.67,2002,SG,21,0.6,0.7,0.2,0.0,0.3
Damone Brown,Syracuse,113.0,34.0,29.2,4.3,8.7,0.4970000000000001,4.2,7.9,0.525,0.2,0.8,0.225,2.0,2.7,0.742,3.2,5.6,6.0,1.1,1.0,0.8,1.6,2.4,10.9,6.91,2002,SF,22,0.2,0.1,0.1,0.1,1.4
Tierre Brown,McNeese State,110.0,31.0,28.7,5.6,12.6,0.444,4.6,9.7,0.475,1.0,2.8,0.337,3.3,4.5,0.7340000000000001,2.1,3.6,4.2,3.3,1.5,0.1,3.2,0.8,15.4,-7.0,2002,SG,22,1.1,1.8,0.5,0.1,3.1
Jarron Collins,Stanford,129.0,34.0,24.5,2.9,5.5,0.52,2.8,5.4,0.527,0.0,0.1,0.25,2.6,3.9,0.669,2.0,4.7,5.5,1.1,0.6,0.4,1.3,1.8,8.4,8.87,2002,C,23,4.2,0.8,0.4,0.3,6.4
Jason Collins,Stanford,73.0,34.0,22.1,3.6,5.9,0.612,3.4,5.5,0.623,0.2,0.4,0.444,3.4,4.8,0.716,2.7,5.1,6.6,0.8,0.5,1.2,1.5,2.2,10.8,8.87,2002,C,23,3.9,1.1,0.4,0.6,4.5
Joe Crispin,Penn State,127.0,33.0,33.3,4.8,12.7,0.382,2.4,5.7,0.423,2.4,7.0,0.348,3.5,4.0,0.885,0.5,3.1,2.9,3.8,1.0,0.1,2.9,0.5,15.6,8.6,2002,PG,22,0.5,1.2,0.2,0.0,3.8
Alton Ford,Houston,26.0,18.0,25.5,3.7,8.5,0.4320000000000001,3.3,7.2,0.462,0.3,1.3,0.265,3.1,5.1,0.609,1.6,4.3,5.9,0.7,0.2,0.7,2.5,3.7,10.8,4.91,2002,PF,20,2.0,0.1,0.1,0.1,3.1
Joseph Forte,UNC,69.0,32.0,33.9,6.9,15.3,0.454,5.3,10.9,0.489,1.6,4.4,0.368,3.2,4.0,0.81,1.2,4.8,5.8,3.0,1.8,0.4,2.4,2.0,18.7,11.79,2002,SG,20,0.8,0.8,0.3,0.0,0.8
Eddie Griffin,Seton Hall,30.0,30.0,32.6,6.9,16.0,0.429,5.5,11.7,0.469,1.4,4.3,0.32,2.7,3.6,0.7340000000000001,3.1,7.6,10.8,1.6,0.9,4.4,2.2,2.4,17.8,6.03,2002,PF,19,5.7,0.7,0.2,1.8,8.8
Tang Hamilton,Mississippi State,123.0,31.0,27.2,4.0,8.4,0.475,2.9,5.0,0.575,1.1,3.3,0.324,1.6,2.3,0.6890000000000001,1.8,5.0,5.5,0.8,0.7,0.4,1.7,0.5,10.6,5.62,2002,SF,23,2.0,0.6,0.4,0.0,2.2
Trenton Hassell,Austin Peay,84.0,32.0,36.2,6.9,14.6,0.471,5.4,10.4,0.523,1.5,4.2,0.345,4.1,5.3,0.779,2.6,5.2,8.2,4.5,1.1,0.7,3.4,1.5,19.4,-3.83,2002,SG,22,3.3,2.2,0.7,0.6,8.7
Kirk Haston,Indiana,96.0,28.0,26.8,5.7,12.0,0.473,5.4,11.2,0.48,0.3,0.7,0.366,3.0,4.2,0.7170000000000001,2.4,6.3,7.8,1.2,0.8,1.1,2.0,2.7,14.6,10.88,2002,PF,22,1.3,0.3,0.0,0.1,1.7
Steven Hunter,DePaul,63.0,27.0,24.6,4.0,6.8,0.586,4.0,6.8,0.589,0.0,0.0,0.0,1.9,3.2,0.6,2.2,3.4,4.7,0.4,0.2,2.0,1.6,2.2,9.9,7.92,2002,C,20,1.8,0.1,0.1,0.8,3.6
Richard Jefferson,Arizona,84.0,34.0,26.3,4.0,8.1,0.49,3.3,6.2,0.528,0.7,1.9,0.368,2.5,3.5,0.718,1.7,3.8,5.0,2.8,0.6,0.8,2.7,2.6,11.2,10.19,2002,SF,21,3.7,1.8,0.8,0.6,9.4
Joe Johnson,Arkansas,53.0,41.0,30.3,5.7,12.2,0.466,4.5,9.3,0.485,1.2,2.9,0.406,2.4,3.2,0.753,2.2,4.2,6.1,2.4,1.7,0.5,2.5,1.7,15.0,6.96,2002,SG,20,3.3,2.3,0.8,0.3,7.5
Alvin Jones,Georgia Tech,124.0,30.0,31.5,3.6,7.4,0.489,3.6,7.4,0.491,0.0,0.0,0.0,3.3,5.8,0.574,2.4,8.0,8.7,1.4,0.7,3.4,3.0,2.2,10.6,9.22,2002,C,23,1.6,0.1,0.1,0.4,1.1
Terence Morris,Maryland,136.0,36.0,29.8,4.7,9.6,0.495,4.0,7.4,0.542,0.7,2.2,0.338,2.5,3.2,0.78,2.5,5.2,6.8,1.7,1.2,1.9,2.2,1.9,12.7,10.41,2002,SF,23,3.1,0.9,0.3,0.4,3.8
Troy Murphy,Notre Dame,94.0,29.0,35.1,7.2,14.6,0.496,6.6,12.5,0.522,0.7,2.0,0.335,6.2,8.0,0.777,3.1,6.1,9.8,1.7,1.2,1.3,3.0,2.9,21.4,6.35,2002,PF,21,3.9,0.9,0.4,0.3,5.9
