,Name,School,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,SOS,NBATRB,NBAAST,NBASTL,NBABLK,NBAPTS,Pk,Tm,Year,Pos
0,Kenyon Martin,Cincinnati,116.0,23.7,4.4,7.5,0.586,4.4,7.5,0.59,0.0,0.1,0.222,2.2,3.7,0.581,7.5,1.2,1.1,2.5,1.6,2.0,11.0,6.65,7.4,1.9,1.1,1.7,12.0,1,NJN,2000,PF
1,Stromile Swift,LSU,50.0,26.6,5.1,9.0,0.56,4.9,8.4,0.585,0.2,0.7,0.242,3.1,5.1,0.613,7.0,0.7,1.3,2.6,2.5,2.6,13.4,5.84,3.6,0.4,0.8,1.0,4.9,2,VAN,2000,PF
2,Marcus Fizer,Iowa State,97.0,32.9,7.1,13.9,0.511,6.9,13.2,0.524,0.2,0.7,0.292,4.4,6.3,0.7020000000000001,7.4,1.0,0.9,0.9,2.3,1.9,18.9,6.27,4.3,1.1,0.4,0.3,9.5,4,CHI,2000,PF
3,Mike Miller,Florida,65.0,26.7,4.5,9.2,0.483,3.3,5.8,0.565,1.2,3.5,0.345,3.1,4.4,0.718,6.0,2.3,1.2,0.3,2.2,1.9,13.3,7.07,4.0,1.7,0.6,0.2,11.9,5,ORL,2000,SF
4,DerMarr Johnson,Cincinnati,32.0,27.5,4.4,9.2,0.478,2.8,4.8,0.575,1.6,4.4,0.371,2.2,3.0,0.737,3.8,1.4,1.0,0.9,1.4,2.0,12.6,8.5,2.3,0.8,0.6,0.4,5.1,6,ATL,2000,SF
5,Chris Mihm,Texas,96.0,31.4,5.2,10.4,0.4970000000000001,5.1,10.1,0.503,0.1,0.3,0.3,4.2,6.1,0.684,9.8,0.6,0.4,2.8,2.4,1.9,14.6,7.62,4.7,0.3,0.3,0.9,7.6,7,CHI,2000,C
6,Jamal Crawford,Michigan,17.0,33.9,6.2,15.0,0.412,4.2,9.1,0.468,1.9,5.9,0.327,2.4,3.0,0.784,2.8,4.5,1.1,0.9,3.1,1.1,16.6,9.27,1.5,2.3,0.7,0.2,4.6,8,CLE,2000,PG
7,Keyon Dooling,Missouri,59.0,28.1,3.8,9.2,0.411,2.6,5.8,0.452,1.1,3.4,0.338,3.4,4.7,0.733,2.4,3.4,1.3,0.5,2.3,1.7,12.1,6.05,1.2,2.3,0.5,0.1,5.9,10,ORL,2000,PG
8,Jerome Moiso,UCLA,62.0,26.8,4.9,9.8,0.495,4.8,9.5,0.505,0.1,0.4,0.227,2.2,3.5,0.614,6.8,1.1,1.0,1.3,2.3,2.8,12.0,9.47,1.8,0.1,0.1,0.2,1.5,11,BOS,2000,C
9,Mateen Cleaves,Michigan State,123.0,29.6,4.4,10.8,0.406,3.2,7.1,0.454,1.2,3.7,0.313,2.6,3.5,0.738,2.1,6.6,1.6,0.1,3.8,1.6,12.5,9.5,1.7,2.7,0.6,0.0,5.4,14,DET,2000,PG
