Name,NBATRB,NBAAST,NBASTL,NBABLK,NBAPTS,Value
Admiral Schofield,1.46,0.47,0.27,0.1,3.41,6.97
Bol Bol,4.36,0.74,0.42,0.76,9.66,19.54
Bruno Fernando,4.85,1.05,0.51,0.73,8.56,19.68
Cameron Johnson,2.24,0.59,0.41,0.33,3.82,9.58
Carsen Edwards,1.48,1.17,0.4,0.09,6.35,11.35
Chuma Okeke,2.36,0.61,0.46,0.28,3.83,9.8
Coby White,2.5,3.01,0.74,0.2,10.54,20.9
Darius Garland,2.84,2.52,0.61,0.25,10.01,19.77
DeAndre Hunter,3.52,1.38,0.55,0.36,8.5,17.54
Dylan Windler,2.84,1.15,0.5,0.37,5.79,13.53
Grant Williams,3.28,0.68,0.41,0.46,5.74,13.27
Ignas Brazdeikis,1.41,0.44,0.24,0.08,3.39,6.7
Isaiah Roby,2.2,0.53,0.37,0.47,3.66,9.61
Ja Morant,3.82,5.35,0.97,0.33,11.64,28.16
Jalen McDaniels,2.48,0.56,0.36,0.2,3.83,9.34
Jarrett Culver,3.28,2.29,0.78,0.34,9.32,20.02
Jaylen Hands,1.33,1.58,0.34,0.04,3.52,8.64
Jaylen Hoard,1.61,0.49,0.24,0.13,3.37,7.14
Jaylen Nowell,1.43,0.93,0.37,0.08,3.82,8.27
Jontay Porter,1.53,0.49,0.27,0.31,3.32,7.65
Jordan Bone,1.41,1.55,0.32,0.06,3.73,8.9
Keldon Johnson,2.1,0.97,0.42,0.18,5.74,11.5
Kris Wilkes,1.47,0.51,0.27,0.12,3.63,7.32
Louis King,1.46,0.54,0.32,0.11,3.67,7.5
Luguentz Dort,1.38,0.95,0.42,0.09,3.88,8.47
Matisse Thybulle,1.73,1.33,1.01,0.42,4.83,13.18
Mfiondu Kabengele,3.88,0.64,0.45,0.57,7.57,16.24
Miye Oni,1.34,0.74,0.27,0.16,3.48,7.49
Nassir Little,3.47,0.95,0.46,0.34,7.99,15.99
Naz Reid,2.42,0.56,0.38,0.29,5.24,10.98
Nicolas Claxton,3.47,0.58,0.41,0.67,4.85,13.15
PJ Washington,3.78,0.99,0.55,0.44,6.68,15.67
RJ Barrett,3.77,3.08,0.67,0.23,12.32,24.17
Romeo Langford,2.13,1.19,0.39,0.23,6.48,12.69
Rui Hachimura,3.85,0.98,0.46,0.38,7.95,16.57
Sagaba Konate,1.93,0.4,0.25,0.57,3.4,8.8
Tacko Fall,4.47,0.47,0.27,0.88,3.86,13.39
Terance Mann,2.26,1.02,0.43,0.18,4.15,10.2
Ty Jerome,1.57,1.93,0.58,0.11,5.0,11.87
Tyler Cook,3.1,0.68,0.35,0.23,4.21,10.68
Tyler Herro,1.84,1.68,0.51,0.15,7.15,13.83
Zion Williamson,6.87,2.77,1.34,0.73,14.68,33.29
