Name,NBATRB,NBAAST,NBASTL,NBABLK,NBAPTS,Value,pic,Glitch
Admiral Schofield,1.36,0.17,0.23,0.08,2.99,5.79,www.nbadraft.net/files/players/Admiral-Schofield-hd_0.jpg,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg1.jpg?v=1560838179395
Bol Bol,4.4,0.87,0.43,0.77,9.61,19.8,www.nbadraft.net/files/players/bol-bol-hd_0.JPG,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg2.JPG?v=1560838180136
Brandon Clarke,5.73,1.24,0.68,1.0,8.9,22.66,www.nbadraft.net/files/players/brandon-clarke-hd.jpg,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg3.jpg?v=1560838179723
Bruno Fernando,4.87,1.2,0.53,0.7,8.6,19.92,www.nbadraft.net/files/players/bruno-fernando-hd.jpg,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg4.jpg?v=1560838180179
Cam Reddish,1.96,1.47,0.72,0.29,7.84,15.43,www.nbadraft.net/files/players/cameron-reddish-hd.jpg,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg5.jpg?v=1560838180155
Cameron Johnson,2.32,0.65,0.43,0.32,3.99,10.0,www.nbadraft.net/files/players/cameron-johnson-hd.jpg,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg6.jpg?v=1560838180031
Carsen Edwards,1.47,1.26,0.44,0.07,6.21,11.39,www.nbadraft.net/files/players/carsen-edwards-hd.jpeg,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg7.jpeg?v=1560838180095
Chuma Okeke,2.5,0.71,0.53,0.32,4.05,10.66,www.nbadraft.net/files/players/chuma-okeke-hd_0.jpg,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg8.jpg?v=1560838180644
Coby White,2.67,2.87,0.75,0.22,10.89,21.32,www.nbadraft.net/files/players/coby-white-hd1.jpg,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg9.jpg?v=1560838180350
Darius Garland,2.82,2.33,0.6,0.26,9.97,19.41,www.nbadraft.net/files/players/darius-garland-hd.jpg,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg10.jpg?v=1560838179944
DeAndre Hunter,3.5,1.48,0.55,0.34,8.7,17.79,www.nbadraft.net/files/players/deandre-hunter-hd_0.jpg,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg11.jpg?v=1560838180051
Dylan Windler,2.93,1.25,0.54,0.38,5.62,13.79,www.nbadraft.net/files/players/dylan-windler-hd_0.jpg,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg12.jpg?v=1560838179407
Grant Williams,3.27,0.82,0.44,0.48,5.74,13.66,www.nbadraft.net/files/players/grant-williams-hd.jpg,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg13.jpg?v=1560838179668
Ignas Brazdeikis,1.18,-0.01,0.14,0.04,2.85,4.8,www.nbadraft.net/files/players/ignas-brazdeikis-hd.jpg,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg14.jpg?v=1560838179472
