,Name,NBATRB,NBAAST,NBASTL,NBABLK,NBAPTS,Value,Pos,Glitch
0,Admiral Schofield,1.72,0.56,0.36,0.14,3.65,8.07,SF,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg1.jpg?v=1560838179395
1,Bol Bol,3.48,0.53,0.34,0.79,5.87,14.24,C,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg2.JPG?v=1560838180136
2,Brandon Clarke,4.51,0.83,0.51,0.95,6.27,17.3,PF,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg3.jpg?v=1560838179723
3,Bruno Fernando,3.39,0.69,0.41,0.53,4.82,12.74,C,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg4.jpg?v=1560838180179
4,Cam Reddish,2.74,1.2,1.03,0.25,11.04,19.98,SG,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg5.jpg?v=1560838180155
5,Cameron Johnson,3.76,0.96,0.44,0.3,10.02,18.18,SF,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg6.jpg?v=1560838180031
6,Carsen Edwards,1.4,1.37,0.39,0.11,5.02,10.27,PG,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg7.jpeg?v=1560838180095
7,Chuma Okeke,2.52,0.71,0.47,0.38,5.43,12.08,SF,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg8.jpg?v=1560838180644
8,Coby White,3.39,4.55,0.68,0.21,11.53,25.08,PG,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg9.jpg?v=1560838180350
9,Cody Martin,2.25,2.72,0.79,0.35,4.49,14.69,SG,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg48.jpg?v=1561583504858
10,Daniel Gafford,4.55,0.7,0.43,0.82,6.22,16.48,PF,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg49.jpg?v=1561583513200
11,Darius Garland,3.92,3.76,0.62,0.3,11.58,24.68,PG,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg10.jpg?v=1560838179944
12,DeAndre Hunter,3.72,1.59,0.6,0.29,9.39,18.89,SF,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg11.jpg?v=1560838180051
13,Dylan Windler,3.09,1.11,0.49,0.35,6.38,14.28,SG,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg12.jpg?v=1560838179407
14,Eric Paschall,1.97,0.65,0.41,0.17,4.02,9.09,PF,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg50.jpeg?v=1561583528207
15,Grant Williams,3.12,0.72,0.43,0.53,5.73,13.45,PF,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg13.jpg?v=1560838179668
16,Ignas Brazdeikis,2.06,0.73,0.4,0.16,6.21,11.47,SF,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg14.jpg?v=1560838179472
17,Isaiah Roby,2.2,0.69,0.4,0.4,3.59,9.66,SF,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg15.jpg?v=1560838180203
18,Ja Morant,3.78,5.51,0.88,0.26,14.25,30.48,PG,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg16.jpg?v=1560838179763
19,Jalen McDaniels,2.81,0.72,0.34,0.18,4.35,10.36,SF,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg17.jpeg?v=1560838180446
20,Jarrell Brantley,2.1,0.59,0.32,0.19,4.12,9.06,PF,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg51.jpg?v=1561583950111
21,Jarrett Culver,3.52,2.02,0.74,0.24,11.2,21.39,SG,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg18.jpg?v=1560838179584
22,Jaxson Hayes,4.3,0.95,0.62,1.03,10.45,21.97,PF,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg19.jpg?v=1560838179879
23,Jaylen Hands,1.66,2.1,0.4,0.11,3.66,10.33,PG,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg20.jpg?v=1560838179557
24,Jaylen Nowell,1.86,2.47,0.41,0.13,4.72,12.3,PG,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg22.gif?v=1560838180115
25,Jordan Bone,1.26,2.14,0.43,0.08,3.58,9.83,PG,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg24.jpg?v=1560838180229
26,Jordan Poole,1.56,1.64,0.4,0.12,3.96,9.82,PG,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg52.jpg?v=1561583962549
27,Justin James,1.57,0.6,0.32,0.15,3.54,7.74,SG,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg53.jpg?v=1561583968312
28,Justin Wright-Foreman,1.56,1.59,0.3,0.11,4.58,10.09,PG,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg54.jpg?v=1561583980384
29,Keldon Johnson,1.86,0.63,0.38,0.12,4.57,9.27,SG,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg25.jpg?v=1560838180394
30,Kevin PorterJr,2.07,0.77,0.35,0.18,4.76,10.0,SG,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg26.jpg?v=1560838180272
31,Kyle Guy,1.29,1.43,0.38,0.09,4.17,9.27,PG,https://cdn.glitch.com/bee12572-658d-4980-958c-56509a255ae3%2Fimg55.jpg?v=1561583986975
