,Name,NBATRB,NBAAST,NBASTL,NBABLK,NBAPTS,Value,Pos
0,Admiral Schofield,1.92,0.39,0.35,0.17,4.19,8.63,SF
1,Bol Bol,3.32,0.27,0.24,0.7,5.85,13.06,C
2,Brandon Clarke,5.31,1.55,0.72,0.92,9.11,22.73,PF
3,Bruno Fernando,3.92,0.59,0.34,0.63,5.25,13.74,C
4,Cam Reddish,1.87,1.06,0.66,0.3,7.04,13.75,SG
5,Cameron Johnson,3.38,1.18,0.63,0.39,6.65,15.52,SF
6,Carsen Edwards,1.48,1.79,0.48,0.09,6.76,12.95,PG
7,Chuma Okeke,3.55,1.16,0.76,0.44,6.82,16.44,SF
8,Coby White,2.65,3.11,0.77,0.24,10.49,21.37,PG
9,Cody Martin,2.14,1.89,0.63,0.3,4.82,13.02,SG
10,Daniel Gafford,3.95,0.54,0.45,0.68,5.36,14.3,PF
11,Darius Garland,2.88,2.9,0.7,0.26,10.56,21.24,PG
12,DeAndre Hunter,3.59,1.38,0.58,0.35,9.01,18.17,SF
13,Dylan Windler,2.85,1.39,0.6,0.32,5.93,14.16,SG
14,Eric Paschall,2.01,0.33,0.28,0.2,3.4,7.71,PF
15,Grant Williams,3.58,0.98,0.5,0.52,6.97,15.81,PF
16,Ignas Brazdeikis,1.68,0.19,0.25,0.14,3.94,7.39,SF
17,Isaiah Roby,2.03,0.5,0.42,0.45,3.33,9.11,SF
18,Ja Morant,3.99,5.06,0.94,0.32,11.63,27.79,PG
19,Jalen McDaniels,2.33,0.49,0.36,0.16,3.64,8.76,SF
20,Jarrell Brantley,2.06,0.25,0.27,0.19,2.97,7.19,PF
21,Jarrett Culver,3.25,1.97,0.79,0.33,9.59,19.81,SG
22,Jaxson Hayes,5.21,1.13,0.7,0.89,8.9,21.64,PF
23,Jaylen Hands,0.99,1.85,0.37,0.01,3.2,8.31,PG
24,Jaylen Nowell,1.46,1.77,0.47,0.08,4.89,10.93,PG
25,Jordan Bone,0.93,1.84,0.29,-0.02,3.24,7.92,PG
26,Jordan Poole,1.62,1.71,0.49,0.15,5.79,12.23,PG
27,Justin James,1.17,0.48,0.32,0.19,2.58,6.25,SG
28,Justin Wright-Foreman,1.03,1.42,0.23,-0.0,4.55,8.6,PG
29,Keldon Johnson,1.99,0.86,0.42,0.14,5.4,10.74,SG
30,Kevin PorterJr,1.7,0.97,0.47,0.23,4.66,10.25,SG
31,Kyle Guy,0.78,0.82,0.21,-0.04,2.86,5.53,PG
32,Marial Shayok,1.11,0.46,0.24,-0.02,4.22,6.9,SG
33,Matisse Thybulle,2.03,1.24,1.0,0.47,5.18,13.91,SG
34,Mfiondu Kabengele,2.9,0.54,0.37,0.44,5.9,12.62,PF
35,Miye Oni,0.99,0.67,0.21,0.16,2.65,5.94,SG
36,Nassir Little,2.93,0.79,0.44,0.28,6.76,13.63,SF
37,Nickeil Alexander-Walker,2.23,1.62,0.66,0.24,7.25,15.04,SG
38,Nicolas Claxton,2.67,0.5,0.35,0.59,4.06,10.82,PF
39,PJ Washington,3.87,1.17,0.55,0.46,7.51,16.97,PF
40,Quinndary Weatherspoon,1.44,0.85,0.45,0.08,4.18,8.78,SG
41,RJ Barrett,3.77,2.37,0.67,0.25,12.24,23.08,SG
42,Romeo Langford,2.57,1.31,0.48,0.31,7.67,15.11,SG
43,Rui Hachimura,4.07,1.43,0.6,0.36,9.43,19.36,SF
44,Talen Horton-Tucker,1.37,0.65,0.46,0.18,3.56,8.11,SG
45,Terance Mann,1.76,0.8,0.41,0.1,3.58,8.4,SG
46,Tremont Waters,1.33,2.8,0.84,0.02,4.82,13.2,PG
47,Ty Jerome,1.98,2.5,0.69,0.13,6.21,14.81,PG
48,Tyler Herro,2.44,1.36,0.53,0.19,7.75,14.87,SG
49,Zion Williamson,6.55,2.5,1.25,0.7,14.19,31.64,PF
