,Real,pred1,hue1,chip1,pred2,hue2,chip2,pred3,hue3,chip3,pred4,hue4,chip4,pred5,hue5,chip5,pred6,hue6,chip6,pred7,hue7,chip7,level_0,Name
0,0.0,0.62,"rgb(171, 79, 82)",-0.62,4.81,"rgb(171, 79, 82)",-4.81,5.32,"rgb(171, 79, 82)",-5.32,3.309999942779541,"rgb(171, 79, 82)",-3.31,3.1700000762939453,"rgb(171, 79, 82)",-3.17,5.190000057220459,"rgb(171, 79, 82)",-5.19,5.07,"rgb(171, 79, 82)",-5.07,0,Sam Dekker
1,3.6,0.7,"rgb(171, 79, 82)",2.9,4.1,"rgb(87, 110, 167)",-0.5,4.12,"rgb(87, 110, 167)",-0.52,3.069999933242798,"rgb(87, 110, 167)",0.53,2.9700000286102295,"rgb(113, 162, 104)",0.63,5.369999885559082,"rgb(113, 162, 104)",-1.77,4.57,"rgb(113, 162, 104)",-0.97,1,Montrezl Harrell
2,5.6,4.19,"rgb(113, 162, 104)",1.41,4.82,"rgb(87, 110, 167)",0.78,4.82,"rgb(87, 110, 167)",0.78,5.230000019073486,"rgb(87, 110, 167)",0.37,4.659999847412109,"rgb(113, 162, 104)",0.94,3.059999942779541,"rgb(193, 127, 83)",2.54,4.52,"rgb(113, 162, 104)",1.08,2,Jerian Grant
3,3.8,8.04,"rgb(171, 79, 82)",-4.24,5.49,"rgb(113, 162, 104)",-1.69,6.15,"rgb(193, 127, 83)",-2.35,7.489999771118164,"rgb(193, 127, 83)",-3.69,7.710000038146973,"rgb(171, 79, 82)",-3.91,10.149999618530273,"rgb(171, 79, 82)",-6.35,5.77,"rgb(193, 127, 83)",-1.97,3,Delon Wright
4,3.8,3.91,"rgb(87, 110, 167)",-0.11,4.69,"rgb(113, 162, 104)",-0.89,4.59,"rgb(113, 162, 104)",-0.79,4.019999980926514,"rgb(87, 110, 167)",-0.22,4.079999923706055,"rgb(87, 110, 167)",-0.28,2.0999999046325684,"rgb(193, 127, 83)",1.7,4.56,"rgb(113, 162, 104)",-0.76,4,Justin Anderson
5,7.0,3.15,"rgb(171, 79, 82)",3.85,4.72,"rgb(113, 162, 104)",2.28,5.17,"rgb(113, 162, 104)",1.83,4.539999961853027,"rgb(193, 127, 83)",2.46,3.990000009536743,"rgb(193, 127, 83)",3.01,8.350000381469727,"rgb(87, 110, 167)",-1.35,5.12,"rgb(113, 162, 104)",1.88,5,Bobby Portis
6,5.8,4.02,"rgb(113, 162, 104)",1.78,4.41,"rgb(113, 162, 104)",1.39,4.6,"rgb(113, 162, 104)",1.2,4.300000190734863,"rgb(113, 162, 104)",1.5,4.130000114440918,"rgb(113, 162, 104)",1.67,2.5799999237060547,"rgb(171, 79, 82)",3.22,4.56,"rgb(113, 162, 104)",1.24,6,Rondae Hollis-Jefferson
7,4.2,1.02,"rgb(171, 79, 82)",3.18,4.4,"rgb(87, 110, 167)",-0.2,4.5,"rgb(87, 110, 167)",-0.3,2.9200000762939453,"rgb(113, 162, 104)",1.28,3.119999885559082,"rgb(113, 162, 104)",1.08,2.9800000190734863,"rgb(113, 162, 104)",1.22,4.43,"rgb(87, 110, 167)",-0.23,7,Tyus Jones
8,5.7,1.25,"rgb(171, 79, 82)",4.45,4.35,"rgb(113, 162, 104)",1.35,4.19,"rgb(113, 162, 104)",1.51,3.5399999618530273,"rgb(193, 127, 83)",2.16,3.0999999046325684,"rgb(193, 127, 83)",2.6,3.180000066757202,"rgb(193, 127, 83)",2.52,5.07,"rgb(87, 110, 167)",0.63,8,Jarell Martin
9,4.7,0.51,"rgb(171, 79, 82)",4.19,4.37,"rgb(87, 110, 167)",0.33,3.64,"rgb(113, 162, 104)",1.06,3.9600000381469727,"rgb(87, 110, 167)",0.74,3.1500000953674316,"rgb(113, 162, 104)",1.55,8.119999885559082,"rgb(193, 127, 83)",-3.42,4.04,"rgb(87, 110, 167)",0.66,9,Chris McCullough
10,1.1,2.1,"rgb(193, 127, 83)",-1.0,3.98,"rgb(171, 79, 82)",-2.88,3.65,"rgb(171, 79, 82)",-2.55,3.819999933242798,"rgb(171, 79, 82)",-2.72,3.3299999237060547,"rgb(171, 79, 82)",-2.23,4.460000038146973,"rgb(171, 79, 82)",-3.36,4.33,"rgb(171, 79, 82)",-3.23,10,Pat Connaughton
11,1.8,-1.85,"rgb(87, 110, 167)",3.65,3.8,"rgb(171, 79, 82)",-2.0,3.42,"rgb(193, 127, 83)",-1.62,0.9399999976158142,"rgb(193, 127, 83)",0.86,2.319999933242798,"rgb(113, 162, 104)",-0.52,5.840000152587891,"rgb(171, 79, 82)",-4.04,4.21,"rgb(171, 79, 82)",-2.41,11,Kevon Looney
12,4.0,5.83,"rgb(113, 162, 104)",-1.83,4.27,"rgb(87, 110, 167)",-0.27,3.63,"rgb(87, 110, 167)",0.37,5.079999923706055,"rgb(113, 162, 104)",-1.08,5.090000152587891,"rgb(113, 162, 104)",-1.09,3.880000114440918,"rgb(87, 110, 167)",0.12,4.43,"rgb(87, 110, 167)",-0.43,12,Anthony Brown
13,5.6,5.95,"rgb(87, 110, 167)",-0.35,4.73,"rgb(87, 110, 167)",0.87,4.4,"rgb(113, 162, 104)",1.2,6.519999980926514,"rgb(87, 110, 167)",-0.92,5.059999942779541,"rgb(87, 110, 167)",0.54,2.2799999713897705,"rgb(171, 79, 82)",3.32,4.67,"rgb(87, 110, 167)",0.93,13,Richaun Holmes
14,15.8,16.07,"rgb(87, 110, 167)",-0.27,13.15,"rgb(113, 162, 104)",2.65,15.14,"rgb(87, 110, 167)",0.66,12.729999542236328,"rgb(113, 162, 104)",3.07,15.979999542236328,"rgb(87, 110, 167)",-0.18,18.1200008392334,"rgb(87, 110, 167)",-2.32,16.72,"rgb(87, 110, 167)",-0.92,14,Ben Simmons
