Name,NBATRB,NBAAST,NBASTL,NBABLK,NBAPTS,Value
Nickeil Alexander-Walker,1.9994726,1.5413003,0.60466343,0.18213443,5.5231166,12.594828
Al-Wajid Aminu,2.5928583,0.5146399,0.31061026,0.42815128,3.3797936,9.479467
Desmond Bane,2.267496,0.9811556,0.45012224,0.16519013,4.8222427,10.8609085
RJ Barrett,3.9611871,2.7007363,0.6007925,0.3337647,13.164207,24.772411
Charles Bassey,4.3564115,0.8593867,0.47742686,0.7516422,5.7890053,15.992986
Tyus Battle,1.4173001,1.1696497,0.4753229,0.120671146,5.408555,10.6517725
Phil Bledsoe,1.4157258,0.45186055,0.2520085,0.120677784,3.283941,6.7786613
Bol Bol,4.476789,1.0675766,0.5519603,0.8093972,10.795488,21.853073
Marques Bolden,2.4273424,0.46667576,0.3300834,0.4916085,3.6583142,9.736215
Jordan Bone,1.4202251,1.3674824,0.40755817,0.120671466,4.264978,9.605161
Ky Bowman,2.3041315,2.0448496,0.5461009,0.1206783,5.738275,13.570845
DaQuan Bracey,1.4166522,1.9554387,0.45321155,0.12066492,3.771992,10.126762
Keith Braxton,2.367769,1.7387903,0.5743751,0.12067963,3.95039,11.485063
Ignas Brazdeikis,2.5964954,0.80181104,0.43255308,0.2961584,6.376777,12.881423
Oshae Brissett,2.5893176,0.6265057,0.44050953,0.27502003,4.6987405,10.892268
Armoni Brooks,1.416872,0.48592067,0.3238404,0.12067697,3.283941,7.046621
Nico Carvacho,3.344801,0.613431,0.36887863,0.29270902,3.5596368,10.478309
Yoeli Childs,3.16942,0.92802626,0.4004805,0.3877576,5.2851443,12.845202
Nicolas Claxton,2.6482651,0.49739558,0.37678888,0.5422945,4.083462,10.764724
Amir Coffey,1.8904291,1.4917533,0.4449803,0.12067887,5.552773,11.755896
Tyler Cook,3.0138707,0.8957287,0.37461045,0.29222015,5.700654,12.661385
Jarrett Culver,2.6833055,1.4475546,0.61083806,0.26229393,6.9038463,14.91454
Jarron Cumberland,1.4172431,1.1442829,0.40431023,0.12067409,4.311042,9.303111
Caleb Daniels,1.5138052,1.031413,0.31894198,0.14922678,4.220037,8.988229
Javin DeLaurier,3.4601436,0.660457,0.5567754,0.5641664,4.8758097,13.381494
Mamadi Diakite,2.2376342,0.46416754,0.3359295,0.42319041,3.611123,9.269896
Alpha Diallo,2.2678266,0.8881815,0.49398202,0.16504031,4.5907044,10.621436
James Dickey,2.4510126,0.4834072,0.33766103,0.46567827,3.283941,9.360285
David DiLeo,1.4168993,0.5636509,0.30200905,0.12066811,3.283941,7.0977283
Davon Dillard,2.0922084,0.49081928,0.39421538,0.27864072,4.2969513,9.562399
Luguentz Dort,1.9021608,1.5341911,0.5834672,0.16817296,6.8236036,13.662403
Devon Dotson,2.7126489,2.0930052,0.7085906,0.24342337,7.36597,16.6167
Aljami Durham,1.4167031,0.5481742,0.3057975,0.12307707,3.283941,7.0928698
Carsen Edwards,1.4180033,1.3534625,0.45697033,0.12066946,6.380979,11.845696
CJ Elleby,2.4665227,1.4098116,0.4737406,0.25253573,5.0923123,12.345686
Bruno Fernando,4.180581,0.81488067,0.43063715,0.61071116,5.965692,15.328754
Jaylen Fisher,1.4187955,1.718854,0.49769554,0.12067525,4.710679,10.846626
Savion Flagg,2.6256132,0.60708666,0.38182104,0.25110936,4.4671597,10.427318
Darius Garland,2.804707,2.1190712,0.5459567,0.32272488,8.961704,18.112003
Eugene German,1.4171788,1.1614796,0.34354535,0.120669775,5.013269,9.848747
Quentin Goodin,1.4171059,1.3719482,0.4534546,0.120672435,3.5261254,9.006956
Kellan Grady,1.7359102,1.2842734,0.43512627,0.12067734,5.6228538,11.299767
Devonte Green,1.4164727,0.70832086,0.40563968,0.12067857,3.283941,7.6251445
Quentin Grimes,1.5285617,0.80990875,0.38348034,0.165323,4.162899,8.858446
Kyle Guy,1.4170163,0.7394272,0.33378565,0.12066825,3.91011,8.083033
Rui Hachimura,2.2920976,0.6743826,0.36563888,0.27349675,5.1116533,10.791151
Jaylen Hands,1.6640408,1.9731021,0.54878944,0.120678276,4.9264026,11.891308
Jerrick Harding,1.4166659,1.135332,0.3661571,0.12066817,4.804004,9.667478
Kevon Harris,1.4173678,0.9253937,0.32404917,0.12067594,3.3367975,7.7599044
Tyler Herro,2.5837681,1.4291953,0.5923251,0.2472259,6.859099,14.6220665
Jaylen Hoard,3.318391,0.668054,0.38680097,0.39483327,5.682384,13.011437
Talen Horton-Tucker,2.2465508,1.1750016,0.61626995,0.2851588,5.473268,12.635919
Ty Jerome,1.5295167,1.3829006,0.55378807,0.12067142,4.209619,10.142769
Keldon Johnson,2.7338777,1.0127994,0.47973812,0.2547996,5.8034387,12.806905
Markell Johnson,1.6042377,1.8469507,0.58066183,0.120678425,4.2531743,11.052706
Mfiondu Kabengele,2.7056086,0.48024464,0.36129996,0.47580567,5.1606727,11.639086
Sacha Killeya-Jones,2.3889027,0.47386777,0.34474248,0.454438,3.918683,9.893709
Louis King,2.170667,0.8752624,0.43296754,0.20035994,4.9747095,10.792386
Nathan Knight,2.8808355,1.1488568,0.3402917,0.47727677,5.631898,13.264891
Sagaba Konate,2.703734,0.4646693,0.32806155,0.6239127,4.1030135,10.900421
Martin Krampelj,3.1178844,0.6844708,0.4662954,0.3672528,5.2891874,12.558
Romeo Langford,2.9481232,1.3624986,0.49169606,0.37652445,8.497134,16.683292
Jacob Ledoux,1.4158974,0.62065583,0.33656356,0.12067457,3.283941,7.285716
Nassir Little,2.7349494,0.4997877,0.39897808,0.38921717,5.6679144,12.06412
Trevor Manuel,1.4168223,0.5039699,0.33377087,0.31995466,3.283941,7.7012596
Jermaine Marrow,1.4162685,2.2424755,0.3417669,0.12065248,4.562244,11.012738
Naji Marshall,2.484875,1.1381559,0.4761546,0.21688262,5.0631166,11.831313
Skylar Mays,1.4702393,1.336026,0.61559314,0.12067446,4.652097,10.629226
Jalen McDaniels,2.958175,0.7995922,0.47494188,0.2892325,4.9906855,12.032408
Davion Mintz,1.4167147,0.8320248,0.3542594,0.12067039,3.283941,7.656825
Andrew Nembhard,2.055865,2.344431,0.6544418,0.15947561,4.6320252,13.057462
Kouat Noi,2.2914405,0.76021385,0.4846531,0.22318316,5.274218,11.287777
Jaylen Nowell,2.197246,1.4195426,0.5188602,0.15641235,5.9438024,12.73563
Joel Ntambwe,1.4214616,0.49752158,0.27701578,0.1630847,3.4811268,7.2534637
Jordan Nwora,2.301101,0.7431217,0.4382707,0.21883768,5.3251634,11.172492
Chuma Okeke,2.9734895,0.7488767,0.6135511,0.40188354,4.8604445,12.59825
Miye Oni,1.6236497,1.4986728,0.3733354,0.15650316,4.090643,9.876547
Devonte Patterson,1.5204297,1.0389365,0.447823,0.15888685,4.1132503,9.3163
Lamar Peters,1.4167119,1.7786969,0.54693687,0.12066831,4.1523614,10.523277
Filip Petrusev,2.1389873,0.5753495,0.34585443,0.3574138,4.7785482,10.318162
Jalen Pickett,1.8242446,4.015733,0.8059069,0.19792151,5.260433,16.484612
Shamorie Ponds,2.1738787,2.7944684,0.8460098,0.12067608,9.170475,18.87089
Jordan Poole,1.4197695,0.8167363,0.42455986,0.14106977,4.499102,9.124819
Cletrell Pope,4.05634,0.7354454,0.42489457,0.53328073,4.1943097,13.039613
Nik Popovic,2.5793858,0.47802502,0.28540748,0.30386505,4.285885,9.866003
Jontay Porter,3.0819,1.0360497,0.51321596,0.5527178,5.2405524,13.690708
Myles Powell,1.5977228,1.3886837,0.52650636,0.12067596,6.518237,12.460077
Payton Pritchard,1.4246576,1.8254641,0.5936441,0.12066637,4.0512238,10.641941
